Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
-4,300000E+1	5,000000E+1	2,458079E-2	1,000045E-3	2,457968E+1	9,706750E-6	1,000044E-3	9,706323E-3	1,000000E+0	8,731149E-11	1,145325E+10	-5,268000E-6	1,000000E+0	-5,268000E-6
1,100000E+1	1,000000E+2	2,459876E-2	1,000044E-3	2,459768E+1	3,889288E-5	1,000043E-3	3,889121E-2	1,000000E+0	-2,328306E-10	-4,294968E+9	2,535500E-5	1,000000E+0	2,535500E-5
6,900000E+1	1,500000E+2	2,457936E-2	1,000046E-3	2,457823E+1	4,525718E-6	1,000041E-3	4,525533E-3	1,000000E+0	-6,984919E-10	-1,431656E+9	-6,176000E-6	1,000000E+0	-6,176000E-6
1,280000E+2	2,000000E+2	2,457849E-2	1,000037E-3	2,457758E+1	4,583263E-7	1,000041E-3	4,583075E-4	1,000000E+0	-4,947651E-10	-2,021161E+9	-1,177200E-5	1,000000E+0	-1,177200E-5
1,850000E+2	2,500000E+2	2,457725E-2	1,000040E-3	2,457627E+1	-1,104250E-6	1,000039E-3	-1,104207E-3	1,000000E+0	-4,656613E-10	-2,147484E+9	-1,834400E-5	1,000000E+0	-1,834400E-5
2,440000E+2	3,000000E+2	2,457860E-2	1,000039E-3	2,457764E+1	-1,916720E-6	1,000042E-3	-1,916639E-3	1,000000E+0	7,275958E-10	1,374389E+9	-1,574000E-5	1,000000E+0	-1,574000E-5
3,030000E+2	3,500000E+2	2,457743E-2	1,000047E-3	2,457627E+1	-2,433353E-6	1,000041E-3	-2,433253E-3	1,000000E+0	7,275958E-10	1,374389E+9	-1,570300E-5	1,000000E+0	-1,570300E-5
3,620000E+2	4,000000E+2	2,457640E-2	1,000040E-3	2,457542E+1	-2,803224E-6	1,000042E-3	-2,803107E-3	1,000000E+0	1,746230E-10	5,726622E+9	-1,481500E-5	1,000000E+0	-1,481500E-5
1,250000E+3	1,400000E+3	2,457414E-2	1,000043E-3	2,457308E+1	-4,065837E-6	1,000044E-3	-4,065658E-3	1,000000E+0	4,656613E-10	2,147484E+9	-1,872200E-5	1,000000E+0	-1,872200E-5
2,349000E+3	2,400000E+3	2,457044E-2	1,000039E-3	2,456948E+1	-4,292467E-6	1,000045E-3	-4,292274E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-1,787000E-5	1,000000E+0	-1,787000E-5
3,366000E+3	3,400000E+3	2,456498E-2	1,000045E-3	2,456387E+1	-4,388129E-6	1,000045E-3	-4,387931E-3	1,000000E+0	0,000000E+0	Inf	-1,833000E-5	1,000000E+0	-1,833000E-5
4,332000E+3	4,400000E+3	2,456028E-2	1,000043E-3	2,455922E+1	-4,421326E-6	1,000044E-3	-4,421131E-3	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,644400E-5	1,000000E+0	-1,644400E-5
5,413000E+3	5,400000E+3	2,455624E-2	1,000044E-3	2,455516E+1	-4,469508E-6	1,000045E-3	-4,469307E-3	1,000000E+0	-1,746230E-10	-5,726622E+9	-1,711900E-5	1,000000E+0	-1,711900E-5
6,464000E+3	6,400000E+3	2,455212E-2	1,000044E-3	2,455104E+1	-4,467296E-6	1,000046E-3	-4,467091E-3	1,000000E+0	4,656613E-10	2,147484E+9	-1,678500E-5	1,000000E+0	-1,678500E-5
7,456000E+3	7,400000E+3	2,454927E-2	1,000047E-3	2,454812E+1	-4,495763E-6	1,000038E-3	-4,495592E-3	1,000000E+0	5,820766E-10	1,717987E+9	-1,784900E-5	1,000000E+0	-1,784900E-5
8,419000E+3	8,400000E+3	2,454440E-2	1,000041E-3	2,454339E+1	-4,510448E-6	1,000040E-3	-4,510268E-3	1,000000E+0	5,820766E-11	1,717987E+10	-1,714900E-5	1,000000E+0	-1,714900E-5
9,495000E+3	9,400000E+3	2,454213E-2	1,000042E-3	2,454110E+1	-4,534790E-6	1,000039E-3	-4,534613E-3	1,000000E+0	7,275958E-10	1,374389E+9	-1,563000E-5	1,000000E+0	-1,563000E-5
1,014600E+4	1,000000E+4	2,453885E-2	1,000043E-3	2,453779E+1	-4,548368E-6	1,000041E-3	-4,548182E-3	1,000000E+0	7,566996E-10	1,321528E+9	-1,709400E-5	1,000000E+0	-1,709400E-5
